number.bottles,media,productivity,year,prey,predator,day,bottle,structure,network.syn.lap,lambda_m,bottle.number,replicate,connectivity,nghbr.connect,pred.density,prey.density,ln.pred,ln.prey,pred.oc,prey.oc,tube.length,disp.connect,Connectivity.per,volume.L,Prey.disp.rate,Prey.growth.rate,Prey.K.cap,Prey.size,Pred.size,Pred.attack.rate
2,medium,0.76,2010,colpidium,didinium,0,A1A,A,1,1,1,A,1,1,0.1333333,1977.5,0.125163114,7.590094261,1,1,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,2,A1A,A,1,1,1,A,1,1,1.333333333,1643.669111,0.84729786,7.405294495,1,1,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,4,A1A,A,1,1,1,A,1,1,1,1560.795039,0.693147181,7.353591105,1,1,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,6,A1A,A,1,1,1,A,1,1,1,1823.229603,0.693147181,7.508913042,1,1,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,8,A1A,A,1,1,1,A,1,1,3.666666667,1381.234547,1.540445041,7.231456706,1,1,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,11,A1A,A,1,1,1,A,1,1,4,262.434564,1.609437912,5.573805003,1,1,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,13,A1A,A,1,1,1,A,1,1,6,96.68641832,1.945910149,4.581762535,1,1,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,15,A1A,A,1,1,1,A,1,1,3.333333333,27.62469095,1.466337069,3.354269665,1,1,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,17,A1A,A,1,1,1,A,1,1,3,27.62469095,1.386294361,3.354269665,1,1,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,19,A1A,A,1,1,1,A,1,1,1.333333333,27.62469095,0.84729786,3.354269665,1,1,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,21,A1A,A,1,1,1,A,1,1,0.666666667,69.06172737,0.510825624,4.249376673,1,1,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,24,A1A,A,1,1,1,A,1,1,0,303.8716004,0,5.719890706,0,1,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,26,A1A,A,1,1,1,A,1,1,0,193.3728366,0,5.269778153,0,1,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,28,A1A,A,1,1,1,A,1,1,0,151.9358002,0,5.030018227,0,1,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,30,A1A,A,1,1,1,A,1,1,0,359.1209823,0,5.886440037,0,1,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,32,A1A,A,1,1,1,A,1,1,0,276.2469095,0,5.624908479,0,1,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,34,A1A,A,1,1,1,A,1,1,0,165.7481457,0,5.116484564,0,1,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,36,A1A,A,1,1,1,A,1,1,0,0,0,0,0,0,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,38,A1A,A,1,1,1,A,1,1,0,0,0,0,0,0,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,40,A1A,A,1,1,1,A,1,1,0,0,0,0,0,0,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,42,A1A,A,1,1,1,A,1,1,0,0,0,0,0,0,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,44,A1A,A,1,1,1,A,1,1,0,0,0,0,0,0,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,46,A1A,A,1,1,1,A,1,1,0,0,0,0,0,0,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,48,A1A,A,1,1,1,A,1,1,0,0,0,0,0,0,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,50,A1A,A,1,1,1,A,1,1,0,0,0,0,0,0,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,52,A1A,A,1,1,1,A,1,1,0,0,0,0,0,0,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,54,A1A,A,1,1,1,A,1,1,0,0,0,0,0,0,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,56,A1A,A,1,1,1,A,1,1,0,0,0,0,0,0,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,58,A1A,A,1,1,1,A,1,1,0,0,0,0,0,0,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,60,A1A,A,1,1,1,A,1,1,0,0,0,0,0,0,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,62,A1A,A,1,1,1,A,1,1,0,0,0,0,0,0,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,64,A1A,A,1,1,1,A,1,1,0,0,0,0,0,0,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,66,A1A,A,1,1,1,A,1,1,0,0,0,0,0,0,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,68,A1A,A,1,1,1,A,1,1,0,0,0,0,0,0,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,70,A1A,A,1,1,1,A,1,1,0,0,0,0,0,0,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,72,A1A,A,1,1,1,A,1,1,0,0,0,0,0,0,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,75,A1A,A,1,1,1,A,1,1,0,0,0,0,0,0,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,0,A2A,A,1,1,2,A,1,1,0.1333333,1977.5,0.125163114,7.590094261,1,1,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,2,A2A,A,1,1,2,A,1,1,1.666666667,1643.669111,0.980829253,7.405294495,1,1,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,4,A2A,A,1,1,2,A,1,1,1.666666667,897.8024558,0.980829253,6.801063273,1,1,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,6,A2A,A,1,1,2,A,1,1,1.666666667,1767.980221,0.980829253,7.478158513,1,1,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,8,A2A,A,1,1,2,A,1,1,1.666666667,1436.483929,0.980829253,7.270649593,1,1,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,11,A2A,A,1,1,2,A,1,1,0.333333333,345.3086369,0.287682072,5.847330392,1,1,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,13,A2A,A,1,1,2,A,1,1,3,165.7481457,1.386294361,5.116484564,1,1,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,15,A2A,A,1,1,2,A,1,1,2,110.4987638,1.098612289,4.714013504,1,1,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,17,A2A,A,1,1,2,A,1,1,1,27.62469095,0.693147181,3.354269665,1,1,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,19,A2A,A,1,1,2,A,1,1,1.666666667,27.62469095,0.980829253,3.354269665,1,1,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,21,A2A,A,1,1,2,A,1,1,0.333333333,27.62469095,0.287682072,3.354269665,1,1,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,24,A2A,A,1,1,2,A,1,1,0,234.8098731,0,5.463025858,0,1,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,26,A2A,A,1,1,2,A,1,1,0,55.2493819,0,4.029795053,0,1,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,28,A2A,A,1,1,2,A,1,1,0,69.06172737,0,4.249376673,0,1,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,30,A2A,A,1,1,2,A,1,1,0,303.8716004,0,5.719890706,0,1,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,32,A2A,A,1,1,2,A,1,1,0,234.8098731,0,5.463025858,0,1,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,34,A2A,A,1,1,2,A,1,1,0,207.1851821,0,5.338427982,0,1,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,36,A2A,A,1,1,2,A,1,1,0,0,0,0,0,0,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,38,A2A,A,1,1,2,A,1,1,0,0,0,0,0,0,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,40,A2A,A,1,1,2,A,1,1,0,0,0,0,0,0,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,42,A2A,A,1,1,2,A,1,1,0,0,0,0,0,0,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,44,A2A,A,1,1,2,A,1,1,0,0,0,0,0,0,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,46,A2A,A,1,1,2,A,1,1,0,0,0,0,0,0,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,48,A2A,A,1,1,2,A,1,1,0,0,0,0,0,0,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,50,A2A,A,1,1,2,A,1,1,0,0,0,0,0,0,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,52,A2A,A,1,1,2,A,1,1,0,0,0,0,0,0,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,54,A2A,A,1,1,2,A,1,1,0,0,0,0,0,0,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,56,A2A,A,1,1,2,A,1,1,0,0,0,0,0,0,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,58,A2A,A,1,1,2,A,1,1,0,0,0,0,0,0,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,60,A2A,A,1,1,2,A,1,1,0,0,0,0,0,0,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,62,A2A,A,1,1,2,A,1,1,0,0,0,0,0,0,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,64,A2A,A,1,1,2,A,1,1,0,0,0,0,0,0,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
2,medium,0.76,2010,colpidium,didinium,66,A2A,A,1,1,2,A,1,1,0,0,0,0,0,0,11.2,1,0.5,0.03,470.2,1.5,1379,81,150,0.4272
